mname,mid,mnumber,brand,record,family,line,weight,min_weight,max_weight
D-RTK 2 Tripod,a370o0000039NvW,,DJI,Accessory,D-RTK,D-RTK 2,,,
Matrice 600,a370o0000039Nvb,M600,DJI,Drone,Matrice,Matrice 600,5.53,9.1,15.1
Mavic 2 Intelligent Flight Battery,a370o0000039Nvc,FB2-3850mAh-15.4V,DJI,Battery,Mavic,Mavic 2,,,
Matrice 600 Pro,a370o0000039Nvg,M600Pro,DJI,Drone,Matrice,Matrice 600,5.93,9.5,15.5
TB47S Intelligent Flight Battery,a370o0000039Nvl,TB47S,DJI,Battery,Matrice,Matrice 600,,,
TB48S Intelligent Flight Battery,a370o0000039Nvq,TB48S,DJI,Battery,Matrice,Matrice 600,,,
Mavic 2 Zoom,a370o0000039NwA,L1Z,DJI,Drone,Mavic,Mavic 2,0.61,0.91,
Mavic 2 Pro,a370o0000039NwF,L1P,DJI,Drone,Mavic,Mavic 2,0.61,0.91,
Mavic 2 Enterprise Dual,a370o0000039Nx3,,DJI,Drone,Mavic,Mavic 2,0.602,0.899,1.1
Mavic 2 Enterprise Zoom,a370o0000039Nx8,,DJI,Drone,Mavic,Mavic 2,0.608,0.905,1.1
Mavic 2 Enterprise Beacon,a370o0000039NxS,M2E Beacon,DJI,Payload,Mavic,Mavic 2,,,
Mavic 2 Enterprise Spotlight,a370o0000039Nxc,M2E Spotlight,DJI,Payload,Mavic,Mavic 2,,,
Mavic 2 Speaker,a370o0000039O02,M2E Speaker,DJI,Payload,Mavic,Mavic 2,,,
Mavic 2 Enterprise Advanced,a370o00000397AI,,DJI,Drone,Mavic,Mavic 2,0.612,0.909,1.1
Mavic 2 Enterprise Intelligent Flight Battery,a370o00000397AN,FB2-3850mAh-15.4V,DJI,Battery,Mavic,Mavic 2,,,
Elios 2,a370o00000397Uy,MAGICSPHERE,Flyability SA,Drone,Elios,Elios 2,0.92,1.45,1.45
Elios 1,a370o00000397WR,MAGICINTHEAIR,Flyability SA,Drone,Elios,Elios 1,0.52,0.7,0.7
Elios 1 Flight Battery,a370o00000397Wu,E1FB,Flyability SA,Battery,Elios,Elios 1,,,
Elios 2 Flight Battery,a370o00000397Wz,E2FB,Flyability SA,Battery,Elios,Elios 2,,,
35W LiPo Balance Charger,a370o00000397X0,E3,,Accessory,,,,,
Lightbridge 2 Remote,a370o00000397X9,GL858A,DJI,Remote,Lightbridge,Lightbridge 2,,,
Flyability Range Extender Remote,a370o00000397XE,GL858A-MAGICREMOTE,DJI,Remote,Lightbridge,Lightbridge 2,,,
